10月1日,酱油,65,调味品,7
10月1日,醋,56,调味品,3
10月1日,盐,123,调味品,2
10月1日,料酒,94,调味品,4
10月1日,鸡精,101,调味品,4
10月1日,麻辣鲜,13,调味品,1
10月1日,面条,95,日常食品,5
10月1日,萝卜干,46,日常食品,5
10月1日,粉丝,86,日常食品,6
10月1日,饼干,46,日常食品,4
10月1日,馒头,38,日常食品,4
10月1日,大米,29,日常食品,10
10月1日,玉米糊,15,营养食品,12
10月1日,燕麦片,28,营养食品,12
10月1日,羊奶,9,营养食品,20
10月1日,五谷粥,33,营养食品,12
10月2日,酱油,46,调味品,7
10月2日,醋,49,调味品,3
10月2日,盐,91,调味品,2
10月2日,料酒,26,调味品,4
10月2日,鸡精,84,调味品,4
10月2日,麻辣鲜,9,调味品,1
10月2日,面条,46,日常食品,5
10月2日,萝卜干,98,日常食品,5
10月2日,粉丝,48,日常食品,6
10月2日,饼干,51,日常食品,4
10月2日,馒头,26,日常食品,4
10月2日,大米,19,日常食品,10
10月2日,玉米糊,51,营养食品,12
10月2日,燕麦片,31,营养食品,12
10月2日,羊奶,2,营养食品,20
10月2日,五谷粥,84,营养食品,12
10月3日,酱油,84,调味品,7
10月3日,醋,75,调味品,3
10月3日,盐,27,调味品,2
10月3日,料酒,57,调味品,4
10月3日,鸡精,17,调味品,4
10月3日,麻辣鲜,34,调味品,1
10月3日,面条,42,日常食品,5
10月3日,萝卜干,28,日常食品,5
10月3日,粉丝,75,日常食品,6
10月3日,饼干,96,日常食品,4
10月3日,馒头,42,日常食品,4
10月3日,大米,85,日常食品,10
10月3日,玉米糊,37,营养食品,12
10月3日,燕麦片,27,营养食品,12
10月3日,羊奶,15,营养食品,20
10月3日,五谷粥,57,营养食品,12
10月4日,酱油,102,调味品,7
10月4日,醋,82,调味品,3
10月4日,盐,72,调味品,2
10月4日,料酒,85,调味品,4
10月4日,鸡精,42,调味品,4
10月4日,麻辣鲜,25,调味品,1
10月4日,面条,62,日常食品,5
10月4日,萝卜干,75,日常食品,5
10月4日,粉丝,42,日常食品,6
10月4日,饼干,67,日常食品,4
10月4日,馒头,42,日常食品,4
10月4日,大米,57,日常食品,10
10月4日,玉米糊,42,营养食品,12
10月4日,燕麦片,27,营养食品,12
10月4日,羊奶,24,营养食品,20
10月4日,五谷粥,17,营养食品,12
10月5日,酱油,49,调味品,7
10月5日,醋,61,调味品,3
10月5日,盐,54,调味品,2
10月5日,料酒,84,调味品,4
10月5日,鸡精,72,调味品,4
10月5日,麻辣鲜,51,调味品,1
10月5日,面条,48,日常食品,5
10月5日,萝卜干,15,日常食品,5
10月5日,粉丝,66,日常食品,6
10月5日,饼干,51,日常食品,4
10月5日,馒头,28,日常食品,4
10月5日,大米,16,日常食品,10
10月5日,玉米糊,59,营养食品,12
10月5日,燕麦片,0,营养食品,12
10月5日,羊奶,1,营养食品,20
10月5日,五谷粥,45,营养食品,12
